,종목코드,기업명
287,025560,미래산업
288,007120,미래아이앤지
289,006800,미래에셋대우
290,085620,미래에셋생명
291,002840,미원상사
292,268280,미원에스씨
293,107590,미원홀딩스
294,134380,미원화학
295,003650,미창석유공업
296,155900,바다로19호
297,003610,방림
298,001340,백광산업
299,014580,백광소재
300,035150,백산
301,002410,범양건영
302,096300,베트남개발1
303,007210,벽산
304,002760,보락
305,003850,보령제약
306,000890,보해양조
307,003000,부광약품
308,001270,부국증권
309,026940,부국철강
310,015350,부산도시가스
311,011390,부산산업
312,005030,부산주공
313,100220,비상교육
314,대륭포스트타워7차19층) ,789
315,101140,비티원
316,005180,빙그레
317,003960,사조대림
318,008040,사조동아원
319,007160,사조산업
320,014710,사조씨푸드
321,006090,사조오양
322,005090,삼광글라스
323,001470,삼부토건
324,006400,삼성SDI
325,006660,삼성공조
326,028260,삼성물산
327,207940,삼성바이오로직스
328,032830,삼성생명
329,018260,삼성에스디에스
330,028050,삼성엔지니어링
331,009150,삼성전기
332,005930,삼성전자
333,001360,삼성제약
334,010140,삼성중공업
335,016360,삼성증권
336,068290,삼성출판사
337,029780,삼성카드
338,000810,삼성화재해상보험
339,006110,삼아알미늄
340,145990,삼양사
341,003230,삼양식품
342,002170,삼양통상
343,272550,삼양패키징
344,000070,삼양홀딩스
345,002810,삼영무역
346,005680,삼영전자공업
347,003720,삼영화학공업
348,023000,삼원강재
349,004380,삼익THK
350,002450,삼익악기
351,000520,삼일제약
352,009770,삼정펄프
353,005500,삼진제약
354,004690,삼천리
355,001880,삼호
356,010960,삼호개발
357,004450,삼화왕관
358,009470,삼화전기
359,011230,삼화전자공업
360,001820,삼화콘덴서공업
361,000390,삼화페인트공업
362,001290,상상인증권
363,041650,상신브레이크
364,075180,새론오토모티브
365,007540,샘표
366,248170,샘표식품
367,007860,서연
368,200880,서연이화
369,017390,서울도시가스
370,004410,서울식품공업
371,021050,서원
372,008490,서흥
373,007610,선도전기
374,136490,선진
375,002820,선창산업
376,014910,성문전자
377,003080,성보화학
378,004980,성신양회
379,011300,성안
380,000180,성창기업지주
381,002420,세기상사
382,004360,세방
383,004490,세방전지
384,001430,세아베스틸
385,306200,세아제강
386,003030,세아제강지주
387,019440,세아특수강
388,058650,세아홀딩스
389,013000,세우글로벌
390,091090,세원셀론텍
391,021820,세원정공
392,067830,세이브존I&C
393,033530,세종공업
394,075580,세진중공업
395,027970,세하
396,145210,세화아이엠씨
397,068270,셀트리온
398,004430,송원산업
399,017550,수산중공업
400,134790,시디즈
401,016590,신대양제지
402,029530,신도리코
403,004970,신라교역
404,011930,신성이엔지
405,005390,신성통상
406,004170,신세계
407,035510,신세계I&C
408,034300,신세계건설
409,031430,신세계인터내셔날
410,031440,신세계푸드
411,006880,신송홀딩스
412,005800,신영와코루
413,001720,신영증권
414,009270,신원
415,002700,신일산업
416,019170,신풍제약
417,002870,신풍제지
418,005450,신한
419,293940,신한알파리츠
420,055550,신한지주
421,001770,신화실업
422,004080,신흥
423,102280,쌍방울
424,003410,쌍용양회공업
425,003620,쌍용자동차
426,004770,써니전자
427,004920,씨아이테크
428,112610,씨에스윈드
429,008700,아남전자
430,090430,아모레퍼시픽
431,002790,아모레퍼시픽그룹
432,002030,아세아
433,183190,아세아시멘트
434,002310,아세아제지
435, 센트로폴리스),789
436,020560,아시아나항공
437,122900,아이마켓코리아
438,010780,아이에스동서
439,003560,아이에이치큐
440,033660,아주캐피탈
441,001780,알루코
442,018250,애경산업
443,161000,애경유화
444,011090,에넥스
445,005850,에스엘
446,012750,에스원
447,123700,에스제이엠
448,025530,에스제이엠홀딩스
449,023960,에쓰씨엔지니어링
450,298690,에어부산
451,140910,에이리츠
452,078520,에이블씨엔씨
453,015260,에이엔피
454,007460,에이프로젠 KIC
455,003060,에이프로젠제약
456,036570,엔씨소프트
457,138250,엔에스쇼핑
458,181710,엔에이치엔
459,085310,엔케이
460,009810,엔케이물산
461,004250,엔피씨
462,900140,엘브이엠씨
